"Town","County","Street_Name","Sensor_ID","Latitude","Longitude","Date","Time","Direction_West","Direction_East","Week_Year"
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"00:00:36",14,21,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"00:15:58",10,19,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"00:30:16",8,17,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"00:45:50",6,7,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"01:00:55",5,10,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"01:15:48",3,6,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"01:30:45",5,5,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"01:45:18",3,6,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"02:00:43",1,4,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"02:15:35",4,6,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"02:30:57",0,2,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"02:45:50",1,4,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"03:00:17",2,4,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"03:15:12",3,1,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"03:30:39",0,3,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"03:45:52",1,4,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"04:00:40",1,2,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"04:15:18",3,5,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"04:30:10",5,14,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"04:45:57",2,7,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"05:00:51",5,13,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"05:15:57",5,14,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"05:30:33",6,22,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"05:45:43",7,23,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"06:00:18",7,43,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"06:15:13",12,48,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"06:30:18",9,51,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"06:45:11",18,63,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"07:00:15",13,41,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"07:15:49",22,64,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"07:30:00",36,82,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"07:45:11",33,92,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"08:00:35",40,104,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"08:15:11",47,108,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"08:30:00",72,103,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"08:45:03",49,130,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"09:00:06",43,21,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"09:15:06",46,93,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"09:30:08",28,114,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"09:45:00",61,122,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"10:00:13",52,129,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"10:15:06",40,122,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"10:30:06",65,118,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"10:45:06",59,133,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"11:00:23",65,131,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"11:15:05",69,111,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"11:30:33",53,38,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"11:45:00",60,65,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"12:00:05",68,131,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"12:15:03",64,125,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"12:30:27",70,127,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"12:45:09",64,121,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"13:00:04",54,108,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"13:15:03",52,123,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"13:30:00",51,126,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"13:45:05",64,125,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"14:00:08",59,123,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"14:15:00",16,116,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"14:30:10",11,122,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"14:45:27",48,133,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"15:00:07",71,141,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"15:15:00",47,92,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"15:30:04",51,86,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"15:45:19",48,130,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"16:00:26",66,74,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"16:15:03",24,106,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"16:30:04",43,108,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"16:45:04",78,144,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"17:00:04",84,150,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"17:15:00",82,127,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"17:30:17",76,122,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"17:45:07",64,130,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"18:00:07",68,122,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"18:15:04",80,146,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"18:30:07",78,119,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"18:45:00",85,90,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"19:00:07",57,122,35
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-29,"19:15:08",87,131,35
