"Town","County","Street_Name","Sensor_ID","Latitude","Longitude","Date","Time","Direction_West","Direction_East","Week_Year"
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"00:00:19",18,21,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"00:15:09",7,12,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"00:30:26",12,17,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"00:45:06",8,9,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"01:00:29",6,5,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"01:15:48",5,6,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"01:30:15",6,3,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"01:45:25",4,6,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"02:00:15",3,4,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"02:15:30",1,4,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"02:30:29",2,4,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"02:45:43",0,4,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"03:00:28",1,1,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"03:15:37",1,3,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"03:30:12",2,2,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"03:45:34",2,6,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"04:00:08",3,7,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"04:15:04",4,5,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"04:30:27",5,10,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"04:45:20",1,8,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"05:00:56",6,6,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"05:15:13",5,13,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"05:30:33",6,23,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"05:45:29",10,44,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"06:00:17",10,35,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"06:15:34",14,46,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"06:30:12",17,57,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"06:45:15",19,63,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"07:00:12",14,35,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"07:15:15",26,53,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"07:30:17",37,81,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"07:45:04",31,90,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"08:00:08",41,77,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"08:15:09",38,94,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"08:30:14",58,103,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"08:45:00",54,113,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"09:00:07",44,126,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"09:15:12",66,151,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"09:30:08",74,129,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"09:45:07",74,42,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"10:00:06",53,30,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"10:15:14",57,74,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"10:30:07",69,68,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"10:45:18",66,14,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"11:00:00",55,12,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"11:15:13",57,80,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"11:30:05",64,83,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"11:45:05",66,141,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"12:00:00",57,126,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"12:15:09",62,108,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"12:30:05",64,125,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"12:45:05",62,127,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"13:00:06",67,95,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"13:15:12",65,116,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"13:30:00",61,131,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"13:45:00",69,127,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"14:00:06",74,137,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"14:15:19",83,115,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"14:30:03",62,88,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"14:45:04",71,120,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"15:00:00",73,134,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"15:15:03",66,135,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"15:30:03",75,90,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"15:45:04",75,129,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"16:00:03",73,134,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"16:15:05",77,117,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"16:30:06",74,80,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"16:45:05",74,131,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"17:00:05",95,129,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"17:15:07",82,111,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"17:30:06",73,128,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"17:45:00",95,135,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"18:00:07",83,134,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"18:15:20",76,112,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"18:30:00",85,115,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"18:45:18",73,100,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"19:00:14",73,125,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"19:15:06",82,106,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"19:30:21",72,106,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"19:45:08",59,101,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"20:00:08",64,115,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"20:15:08",59,99,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"20:30:00",47,83,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"20:45:08",53,85,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"21:00:00",64,84,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"21:15:08",58,82,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"21:30:08",41,56,28
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-07-11,"21:45:28",40,41,28
