"Town","County","Street_Name","Sensor_ID","Latitude","Longitude","Date","Time","Direction_West","Direction_East","Week_Year"
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"00:00:34",4,10,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"00:15:21",6,11,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"00:30:10",5,7,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"00:45:04",3,6,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"01:00:05",5,5,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"01:15:12",3,2,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"01:30:34",2,2,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"01:45:31",2,2,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"02:00:30",1,0,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"02:15:35",1,4,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"02:30:08",2,2,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"02:45:08",2,3,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"03:00:24",0,1,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"03:15:53",0,5,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"03:30:54",1,3,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"03:45:26",2,2,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"04:00:52",1,6,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"04:15:20",1,7,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"04:30:52",3,6,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"04:45:05",2,8,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"05:00:22",5,9,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"05:15:39",10,15,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"05:30:58",4,24,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"05:45:05",8,40,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"06:00:05",13,42,10
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-07,"06:15:24",6,42,10
