"Town","County","Street_Name","Sensor_ID","Latitude","Longitude","Date","Time","Direction_West","Direction_East","Week_Year"
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"00:00:19",14,12,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"00:15:58",14,13,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"00:30:10",10,14,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"00:45:25",7,10,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"01:00:19",10,8,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"01:15:32",4,6,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"01:30:34",3,6,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"01:45:53",2,2,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"02:00:26",3,5,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"02:15:43",2,5,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"02:30:40",2,2,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"02:45:18",0,4,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"03:00:32",2,2,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"03:15:29",0,3,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"03:30:18",1,3,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"03:45:43",1,0,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"04:00:30",5,5,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"04:15:13",4,6,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"04:30:31",4,10,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"04:45:11",4,8,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"05:00:10",5,11,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"05:15:00",9,14,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"05:30:39",12,32,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"05:45:10",7,35,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"06:00:07",9,38,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"06:15:06",9,44,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"06:30:24",12,54,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"06:45:41",15,73,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"07:00:23",17,46,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"07:15:15",41,69,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"07:30:15",30,97,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"07:45:04",48,89,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"08:00:09",55,66,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"08:15:06",57,117,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"08:30:05",79,147,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"08:45:22",71,59,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"09:00:00",60,128,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"09:15:03",61,133,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"09:30:07",62,129,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"09:45:10",55,104,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"10:00:07",64,146,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"10:15:22",62,125,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"10:30:08",66,107,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"10:45:08",73,131,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"11:00:04",71,144,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"11:15:05",59,115,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"11:30:11",58,129,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"11:45:08",58,128,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"12:00:08",61,138,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"12:15:05",69,49,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"12:30:05",66,133,24
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-06-13,"12:45:04",79,139,24
