"Town","County","Street_Name","Sensor_ID","Latitude","Longitude","Date","Time","Direction_West","Direction_East","Week_Year"
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"00:00:26",9,12,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"00:15:17",9,4,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"00:30:36",8,11,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"00:45:05",2,8,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"01:00:17",4,3,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"01:15:39",1,6,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"01:30:28",4,5,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"01:45:37",1,5,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"02:00:41",3,1,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"02:15:27",2,7,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"02:30:47",0,2,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"02:45:23",0,4,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"03:15:42",0,4,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"03:30:33",0,2,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"03:45:18",2,4,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"04:00:52",3,1,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"04:15:54",2,8,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"04:30:39",2,7,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"04:45:14",1,6,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"05:00:29",5,9,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"05:15:18",7,21,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"05:30:07",5,25,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"05:45:22",2,36,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"06:00:10",6,38,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"06:15:04",9,47,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"06:30:33",8,48,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"06:45:20",19,84,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"07:00:16",19,61,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"07:15:13",30,87,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"07:30:06",29,99,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"07:45:04",53,95,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"08:00:15",54,105,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"08:15:00",81,106,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"08:30:04",86,145,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"08:45:00",92,145,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"09:00:14",49,117,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"09:15:11",51,144,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"09:30:09",52,131,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"09:45:07",46,110,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"10:00:06",56,128,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"10:15:06",57,122,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"10:30:09",58,136,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"10:45:17",57,146,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"11:00:00",41,120,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"11:15:08",60,117,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"11:30:00",55,118,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"11:45:05",56,116,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"12:00:09",61,129,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"12:15:03",48,109,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"12:30:37",58,82,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"12:45:00",63,122,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"13:00:03",59,113,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"13:15:03",66,95,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"13:30:10",48,103,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"13:45:03",55,103,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"14:00:07",58,89,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"14:15:09",79,124,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"14:30:20",56,107,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"14:45:03",61,130,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"15:00:07",61,139,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"15:15:03",65,128,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"15:30:00",64,124,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"15:45:06",83,121,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"16:00:33",69,119,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"16:15:03",70,103,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"16:30:18",61,114,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"16:45:01",71,118,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"17:00:20",87,122,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"17:15:00",67,122,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"17:30:05",84,149,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"17:45:15",79,100,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"18:00:08",87,106,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"18:15:00",79,123,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"18:30:16",75,90,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"18:45:04",59,108,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"19:00:17",51,96,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"19:15:41",56,104,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"19:30:18",61,78,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"19:45:08",48,62,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"20:00:05",48,78,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"20:15:06",54,81,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"20:30:05",52,56,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"20:45:06",51,67,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"21:00:00",49,65,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"21:15:04",32,37,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"21:30:20",24,41,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"21:45:00",30,31,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"22:00:13",28,30,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"22:15:05",20,13,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"22:30:03",14,19,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"22:45:04",19,11,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"23:00:36",7,7,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"23:15:35",4,9,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"23:30:49",7,12,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-01-31,"23:45:48",4,7,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-02-01,"00:00:31",8,10,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-02-01,"00:15:13",7,8,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-02-01,"00:30:08",3,6,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-02-01,"00:45:58",7,9,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-02-01,"01:00:00",1,4,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-02-01,"01:15:58",0,2,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-02-01,"01:30:12",2,2,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-02-01,"01:45:45",3,3,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-02-01,"02:00:50",1,1,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-02-01,"02:15:18",1,2,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-02-01,"02:30:10",1,3,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-02-01,"02:45:07",0,4,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-02-01,"03:00:35",2,3,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-02-01,"03:15:19",2,5,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-02-01,"03:30:16",0,2,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-02-01,"03:45:51",2,7,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-02-01,"04:00:45",1,2,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-02-01,"04:15:15",0,10,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-02-01,"04:30:05",3,7,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-02-01,"04:45:46",2,9,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-02-01,"05:00:27",3,8,5
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-02-01,"05:15:31",10,18,5
