"Town","County","Street_Name","Sensor_ID","Latitude","Longitude","Date","Time","Direction_West","Direction_East","Week_Year"
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"00:00:36",12,14,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"00:15:37",8,12,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"00:30:29",8,12,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"00:45:28",9,16,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"01:00:34",7,8,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"01:15:12",4,7,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"01:30:08",2,1,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"01:45:19",2,3,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"02:15:42",2,6,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"02:30:38",2,1,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"02:45:12",2,4,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"03:00:31",2,2,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"03:15:15",4,3,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"03:30:00",1,4,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"03:45:06",0,3,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"04:00:59",3,6,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"04:15:08",2,7,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"04:30:44",3,10,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"04:45:03",2,10,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"05:00:20",2,7,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"05:15:09",9,13,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"05:30:54",4,23,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"05:45:10",7,38,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"06:00:26",7,25,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"06:15:13",12,45,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"06:30:12",16,54,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"06:45:16",18,61,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"07:00:21",16,39,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"07:15:10",23,62,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"07:30:04",24,89,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"07:45:12",32,102,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"08:00:28",38,79,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"08:15:08",48,67,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"08:30:00",48,100,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"08:45:06",59,99,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"09:00:00",49,64,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"09:15:10",40,83,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"09:30:04",61,104,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"09:45:15",55,116,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"10:00:05",52,128,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"10:15:04",50,139,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"10:30:03",53,140,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"10:45:04",19,137,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"11:00:00",16,146,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"11:15:00",48,106,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"11:30:00",68,53,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"11:45:06",54,20,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"12:00:11",53,115,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"12:15:08",65,125,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"12:30:04",58,104,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"12:45:04",55,128,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"13:00:14",55,128,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"13:15:00",62,126,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"13:30:06",65,119,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"13:45:12",72,118,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"14:00:00",70,127,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"14:15:00",57,131,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"14:30:07",31,128,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"14:45:05",54,128,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"15:00:07",10,116,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"15:15:18",44,88,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"15:30:10",31,111,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"15:45:00",35,131,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"16:00:03",40,123,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"16:15:03",59,125,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"16:30:05",90,145,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"16:45:03",80,124,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"17:00:04",79,116,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"17:15:08",92,140,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"17:30:03",77,138,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"17:45:07",80,142,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"18:00:01",68,133,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"18:15:00",82,126,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"18:30:09",66,156,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"18:45:04",55,122,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"19:00:09",50,124,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"19:15:07",73,133,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"19:30:00",78,126,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"19:45:09",75,123,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"20:00:00",62,118,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"20:15:08",73,103,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"20:30:07",71,97,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"20:45:06",64,90,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"21:00:08",62,75,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"21:15:19",52,80,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"21:30:09",51,56,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"21:45:10",42,46,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"22:00:10",45,52,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"22:15:20",37,39,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"22:30:08",27,33,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"22:45:22",22,20,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"23:00:30",23,14,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"23:15:13",22,25,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"23:30:14",6,15,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-08,"23:45:16",15,25,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"00:00:00",10,18,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"00:15:38",6,13,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"00:30:12",8,7,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"00:45:10",5,15,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"01:00:22",5,3,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"01:15:16",5,4,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"01:30:07",3,5,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"01:45:55",5,3,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"02:00:52",5,4,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"02:15:09",6,8,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"02:30:11",0,3,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"02:45:22",0,2,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"03:15:45",2,6,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"03:30:11",3,7,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"03:45:52",1,1,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"04:00:54",5,5,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"04:15:04",3,6,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"04:30:53",2,8,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"04:45:54",1,9,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"05:00:58",3,6,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"05:15:10",6,17,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"05:30:25",7,23,32
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-08-09,"05:45:31",8,45,32
