"Town","County","Street_Name","Sensor_ID","Latitude","Longitude","Date","Time","Direction_West","Direction_East","Week_Year"
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"00:00:54",7,10,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"00:15:13",6,12,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"00:30:05",4,15,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"00:45:09",3,3,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"01:00:36",1,6,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"01:15:48",2,5,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"01:30:13",2,3,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"01:45:11",4,4,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"02:00:20",3,1,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"02:15:26",0,1,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"02:30:07",2,1,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"02:45:50",2,3,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"03:00:09",2,1,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"03:15:31",0,1,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"03:30:34",1,3,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"03:45:39",1,1,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"04:00:54",1,4,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"04:15:21",0,8,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"04:30:05",4,7,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"04:45:51",3,10,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"05:00:18",5,7,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"05:15:37",8,11,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"05:30:31",8,25,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"05:45:31",10,39,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"06:00:10",10,26,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"06:15:45",10,48,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"06:30:19",12,54,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"06:45:10",21,67,13
"Gorey","Wexford","Main Street",97898,52.67579,-6.29403,2022-03-28,"07:00:00",22,62,13
